blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,blueWin
1,0,0,1731,867,1022,0
11,1,0,5149,3956,5560,1
1,-1,-1,645,-200,-3977,0
-9,-1,0,-8957,-6444,-14003,0
-11,-2,0,-6467,-5010,-10053,0
-10,-1,1,-6731,-2508,-10118,0
1,1,0,3500,0,-2375,0
0,1,0,-19,-13,-1380,0
-16,1,-1,-5381,-3600,137,0
-5,2,0,1911,-944,4390,1
-5,-2,0,-4846,-1777,-9640,0
3,-1,0,-485,-314,-106,0
2,2,0,-872,-1023,6758,1
-7,1,0,-3014,-2144,-9088,0
-6,-2,0,-2321,-2242,-90,0
-19,-1,0,-9883,-7867,-15863,0
0,1,0,-3632,-3403,500,0
-8,-2,0,-3143,-2229,-8889,0
-8,-1,0,-7480,-4927,-14370,0
-1,-1,1,-2203,-393,535,0
6,2,0,3876,2559,11682,1
2,1,0,2645,220,5326,0
9,0,0,8946,7547,9693,1
-7,-1,0,-5210,-4044,-3113,0
-6,-1,0,-7066,-2720,-5753,0
1,-1,0,880,1864,550,1
4,2,1,4685,1735,2739,1
-14,-1,-1,-7730,-3168,-11007,0
-5,0,0,-4279,-3273,-3982,0
-3,0,-1,-4102,-4447,-5365,0
-14,-2,-1,-5281,-3842,-11367,0
7,1,0,5574,3365,-712,1
-10,0,-1,-5007,-1507,-3459,0
8,-1,0,3597,2103,11311,1
6,0,0,4144,3806,5382,1
3,-2,1,-14,-670,-4161,0
0,-2,0,897,-1446,-1160,0
11,1,0,6532,3343,12577,1
3,2,0,315,1733,-1200,0
-7,-2,0,-4310,-793,-12788,0
5,2,0,2065,3153,1577,1
11,0,0,8165,3924,15626,1
-4,2,0,-1761,-1734,2493,0
6,-1,0,1506,225,-3534,1
-7,0,-1,-3662,-2310,-3775,0
1,-2,0,223,-611,653,1
-15,-2,0,-6966,-5833,-23238,0
2,0,0,-283,-382,-5377,0
6,2,0,3715,660,5819,0
12,2,0,5588,5590,8784,1
0,1,-1,-1154,48,780,1
9,1,0,4474,718,-3378,1
7,0,0,4419,3100,1080,1
-6,-1,0,-6390,-4581,-10977,0
13,1,0,12865,8688,12812,1
-6,-2,0,-3272,-2552,-8594,0
11,2,0,4769,3115,11942,1
-1,-2,1,-2194,630,-3950,0
-3,-2,-1,-3033,-3156,-7056,0
7,1,1,5439,3990,1470,1
-4,-2,1,280,-40,-5554,0
5,-2,0,3564,1672,3190,1
5,0,1,3566,2174,-2026,0
6,1,0,4204,2772,4811,1
-2,0,0,998,-1283,7774,1
3,1,0,4130,1362,9615,1
4,0,0,2371,1662,10498,1
13,2,1,7903,7064,11118,1
-2,0,0,-705,1020,955,0
12,0,0,7221,6999,15385,1
3,-2,0,1341,-569,3068,0
14,1,0,8709,5536,10074,1
5,0,0,3155,2903,2309,1
-8,0,1,-3661,-2281,-5764,0
5,2,0,5060,5009,12311,1
2,0,0,675,-1265,1932,0
12,2,1,6866,2759,4387,1
-4,0,-1,-5996,-3798,-14003,0
10,2,1,7001,2732,7529,1
-3,-2,0,-5162,-1784,-9413,0
-6,-1,0,-2725,-1953,-6298,0
1,-1,0,3787,498,9696,1
9,1,0,6892,2549,8571,1
-9,-2,0,-3302,-1622,1443,0
3,2,1,2182,-5,6318,1
-3,0,0,-1824,-1181,-10029,0
3,0,0,2669,1400,4243,1
2,-1,-1,2793,1308,8,1
1,0,1,830,-619,-8982,0
-6,-2,0,-3877,-2738,-5910,0
3,0,0,2363,1825,6470,1
-14,-1,-1,-13520,-6167,-9939,0
5,0,1,3848,2427,10612,1
3,0,1,3453,4365,4072,1
13,2,0,5335,7127,4093,1
10,0,0,7875,3415,14755,0
4,-2,1,4938,35,2560,1
3,0,-1,332,1403,453,1
-13,-2,0,-8846,-6587,-6375,0
17,1,0,6690,1429,7962,0
-4,-1,0,-820,-922,4294,0
-2,0,-1,-1225,-220,4427,0
4,1,0,2147,3952,5886,1
4,2,0,1433,-64,5689,1
1,0,1,4265,2550,-5824,1
14,1,0,8430,5139,12439,1
4,0,0,1315,-230,-2401,1
9,0,0,9961,5268,16852,1
14,1,0,7438,4666,13679,1
-2,0,0,-2163,-3019,-2950,0
2,0,0,-1199,1717,1801,0
2,0,1,338,510,6177,1
-9,-1,0,-4423,-2964,-12422,0
-5,1,0,-3207,-3100,-293,0
0,1,0,-919,-556,-132,0
4,0,-1,1279,-1081,399,0
-8,-2,0,-4176,-3380,-3123,0
1,-2,0,1526,1005,3233,1
17,0,0,8970,5959,11707,1
-4,1,1,2530,803,5099,1
-10,-1,0,-7971,-6055,-1396,0
-1,-2,0,2249,1023,4859,1
-5,-2,-1,-3271,-2685,-9835,0
-9,-2,-1,-879,-230,4687,0
2,0,0,1393,1113,2002,1
-11,-2,0,-3312,-3904,-2917,0
-6,-1,0,-3792,-3338,-324,0
2,-1,0,-411,-3213,4112,0
6,-2,1,3356,2155,424,1
-4,1,0,-1160,-734,-3541,0
-6,-2,0,-3030,-3243,-3215,0
3,0,0,2370,836,605,1
-11,-2,0,-6776,-2571,-10716,0
-8,-1,0,-5335,-7139,-12022,0
-10,2,0,-8575,-3862,-8043,0
2,2,0,618,2505,-3886,1
-11,-2,0,-10014,-6656,-14687,0
11,-2,-1,5361,3329,5223,1
-9,-1,-1,-6414,-5602,-16494,0
3,0,0,769,-1046,-2327,1
4,-2,0,4229,3394,-2943,1
-9,0,0,-1591,267,1139,1
-3,-2,1,-880,-161,1418,0
-7,-2,0,-3364,-1516,-13123,0
-6,0,0,-3190,-1219,-1039,0
8,1,1,4370,1507,6280,1
8,1,0,3464,2098,9213,1
3,0,0,708,-1094,1543,0
10,2,-1,3555,2014,10130,1
-6,0,0,-3048,-1327,-4393,0
2,-2,0,3835,3318,7472,1
7,0,0,4531,2711,1657,1
2,0,0,664,-1427,-5092,0
-1,0,0,-788,-206,-3020,0
3,0,0,4436,726,8838,1
1,0,0,2543,1950,6871,0
11,0,0,6682,3477,6736,1
9,1,0,3808,1532,5782,1
4,2,-1,-758,691,-71,0
-8,-2,0,-5085,-2062,-12996,0
5,-1,0,749,1083,1849,1
1,1,0,2418,2257,436,1
6,2,0,878,3618,4787,1
-5,-2,0,-2597,489,3823,0
-8,-2,0,-1252,1004,-1655,0
3,-2,0,1905,2000,4111,1
10,2,0,7432,4480,10587,1
-3,2,0,-2003,-2672,509,0
2,0,0,876,2240,-14285,0
-3,-1,0,228,-60,-3967,0
2,-2,-1,30,-897,-37,0
-2,0,0,455,1433,4071,1
1,0,0,-2728,-2032,-5880,0
-14,-2,0,-10393,-7319,-21672,0
-8,-1,0,-2913,-2665,-10689,0
-9,-1,0,-1430,-1249,-197,0
5,0,0,3582,644,2760,1
0,2,0,2258,775,572,0
0,1,-1,705,645,-4095,1
-5,-2,0,-596,445,-13683,0
1,0,-1,-2747,-1124,-2521,0
5,1,0,3676,2063,11173,1
22,1,1,9739,6499,23078,1
-3,-1,0,-2591,-3790,-6154,0
-12,-2,-1,-8905,-6432,-7338,0
-7,0,0,-5133,-2536,-11342,0
-9,-2,0,-4104,-1522,-14463,0
5,-1,0,2162,3261,1273,1
4,2,0,2693,2411,405,0
-3,-2,0,-3586,-3553,-2128,0
3,1,1,-259,607,1419,1
2,0,0,3140,861,-4022,1
-6,0,0,-3983,-1617,3284,0
-20,-1,-1,-14646,-11030,-18103,0
8,1,-1,1677,-2662,8789,1
13,-1,1,7771,4261,11038,1
5,0,0,-594,-2466,4647,0
-3,-2,0,-321,1049,-6051,0
-14,-1,0,-6355,-3838,-12187,0
-13,-1,-1,-9264,-5819,-10358,0
-5,0,-1,-3226,-3544,-9355,0
-4,0,1,-241,203,2667,1
1,-2,1,619,-1581,-5288,0
3,-1,0,3312,4094,1609,1
0,-2,0,1493,560,4643,0
-3,-2,-1,-1958,-1762,-7670,0
9,2,0,9780,5255,11231,1
2,0,0,123,-912,238,0
-6,-2,-1,-3852,-1784,-2092,0
-18,-2,-1,-13762,-7998,-15128,0
4,-1,0,4097,896,10090,0
2,-1,0,977,3029,-58,0
-3,2,-1,-3527,-3668,-4244,0
4,1,1,3785,2205,7324,1
-5,-2,0,-2676,-967,-6824,0
-9,0,0,-6521,-4490,-6257,0
5,0,0,1978,231,488,1
-10,-1,0,-2816,-3730,-5743,0
-8,-2,0,-3789,-1211,-5389,0
-1,-2,0,451,-578,3922,0
6,1,0,2088,1618,11953,0
-8,-2,0,-2017,-1113,2685,0
6,0,0,2749,910,-2393,0
-14,-1,-1,-10634,-6074,-8128,0
-5,0,0,-3377,-3377,-15359,0
-7,-2,-1,-2734,-3797,-6900,0
4,-1,0,2772,1748,9185,0
2,0,0,26,980,-4379,0
11,1,0,4195,1630,6805,1
7,0,0,5100,2770,5876,0
9,-1,0,6028,4680,8117,1
-10,0,0,-6546,-2055,-15242,0
-9,-1,0,-4357,-2811,2093,0
-5,1,0,-5728,-2216,-8209,0
-8,0,0,-5168,-3659,-3292,0
-8,-2,0,-3199,-2032,-4446,0
0,0,0,1295,1884,-9111,0
-4,-1,-1,-2175,-2553,-2827,0
10,0,1,3027,2103,11203,1
3,2,0,2574,3588,-718,1
-2,-2,1,-1493,-3149,-857,0
-5,-2,0,-1541,-1015,-3516,0
4,2,0,3107,1605,3157,1
2,-1,1,2005,1520,6009,1
-7,0,0,-4185,-3562,369,0
-8,-2,0,-6980,-3125,-8373,0
6,-1,0,3129,1909,2698,1
6,0,0,720,-1580,-1469,0
-5,-2,0,-3327,-2702,-12623,0
5,0,0,1184,-331,1882,0
-4,1,0,-3127,-1764,-10656,0
4,0,0,4972,3370,14627,1
-6,-1,-1,-4045,-4953,-3673,0
0,0,0,1747,1537,10489,1
7,2,0,4305,3395,10262,1
2,0,1,-1000,324,-7900,0
3,-2,0,1882,578,5235,0
-5,-2,0,2750,297,98,1
17,2,0,8918,6239,20314,1
3,1,0,5497,4542,4135,1
1,-2,0,-412,-408,-3812,0
-3,0,0,-2384,-2037,654,0
15,1,0,5893,2683,17054,1
-12,-2,-1,-6304,-3591,-6072,0
0,-2,0,-1872,-1225,-3446,0
-8,1,0,-2111,-1281,-4226,0
14,2,1,12292,8421,13371,1
12,1,0,7589,3533,10538,0
-2,-1,0,553,-377,-10077,0
4,-1,0,2477,2323,1493,0
-19,-2,0,-8704,-5839,-16733,0
-4,0,0,-2476,615,-7062,0
11,2,0,5319,4049,2255,1
3,2,0,3739,971,4961,1
10,0,0,5935,5384,5263,1
-2,-2,-1,567,-1360,795,0
17,0,0,10835,6408,11009,1
3,-2,1,1057,1655,-2108,1
8,2,0,2942,2858,2770,1
1,2,0,-1671,1140,2737,1
8,0,1,6547,6926,3043,1
-4,1,1,777,2120,-5907,1
8,0,0,4936,2394,19411,1
-6,1,0,-4564,-2499,-7688,0
-11,-2,0,-6996,-4721,-4211,0
-9,0,0,-4084,-1665,-10051,0
9,-2,0,4198,2946,8008,0
10,0,1,3507,2418,3630,1
-3,-1,0,-3292,-1116,-917,0
6,1,0,3681,1193,8086,1
12,2,0,4316,3397,9629,1
3,2,0,1737,3114,12215,1
-17,0,0,-7107,-5083,-17041,0
3,-1,0,4096,2090,14260,0
3,-1,1,3271,700,880,0
3,2,0,2638,839,4636,1
4,-2,0,1341,1597,6744,0
9,1,0,3655,258,-1203,1
8,2,1,2325,1444,147,1
-4,0,0,1995,105,7660,1
5,2,0,5058,3107,5379,1
-6,0,0,-2811,-2362,2354,0
8,2,0,3642,2960,9787,1
9,1,0,3380,4740,3412,1
13,1,0,6615,4574,9991,1
7,0,0,3139,843,5061,0
-3,0,1,-2342,171,5097,0
5,-1,0,5941,3121,13344,1
1,-1,1,3639,1866,10450,1
15,0,0,8070,5086,10343,1
-14,-1,0,-10386,-8280,-11540,0
1,-2,1,226,-400,5584,1
7,-2,0,5124,3332,10624,1
8,-2,0,2068,146,-1445,0
1,-2,0,3212,375,-6217,0
4,-2,0,-432,-56,3374,0
-5,-1,1,-1743,-705,1481,0
-14,-2,0,-7898,-5605,-22343,0
0,-1,0,-212,1182,-1384,0
8,1,1,4484,3659,7080,1
8,0,0,2227,2274,5878,0
1,1,0,2768,564,-4086,1
4,0,0,2000,677,1043,1
9,2,0,8085,6705,12419,1
-15,-1,0,-6201,-4724,-12558,0
-8,-2,0,-5148,-2282,-15015,0
-6,0,-1,-5841,-3135,-8503,0
-7,2,0,-1974,1713,-4722,0
2,-1,0,3514,1679,-4504,1
4,2,0,-1048,728,-2826,1
1,0,0,2786,2038,8261,1
5,-2,0,3322,2588,9841,1
2,2,0,1665,1315,8729,1
-3,-1,0,-1652,299,1586,0
1,1,0,-4594,-4198,-228,0
4,0,0,4290,2086,3421,1
-2,-2,0,-574,-2238,-2844,0
12,2,1,5434,4183,13887,1
15,2,0,9390,5703,10364,1
2,2,0,2045,829,373,0
-7,-1,0,-3279,-986,-6456,0
8,2,0,5608,3465,5099,1
1,1,1,2822,1723,283,0
1,1,0,1244,937,7356,0
-8,-2,1,-5083,-1784,-11691,0
12,1,0,3526,3325,8537,0
6,1,0,3054,2844,3306,1
